대여소번호,대여소명,전체 이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"3890","3890. 웰츠타워 오피스텔",27942,11.02%,17.31%,24.58%
"560","560. 비전교회 앞",27924,26.96%,15.23%,23.97%
"914","914. 새절역 2번출구",27913,8.14%,15.08%,29.80%
"768","768.목동5단지아파트 501동",27897,9.27%,16.94%,29.15%
"2730","2730.마곡메가박스 앞",27894,9.89%,19.88%,24.55%
"1235","1235. 잠실트리지움310동 옆",27863,9.79%,16.96%,29.62%
"2173","2173. 당곡사거리",27808,8.57%,17.98%,28.19%
"4122","4122. 청계9가교차로 앞",27804,22.92%,16.12%,25.64%
"4373","4373. 서울숲 지식산업센터",27801,13.47%,22.11%,20.95%
"226","226. 샛강역 1번출구 앞",27796,22.00%,24.87%,17.03%
