대여소번호,대여소명,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%),Cluster_4Counts,Cluster_Original4
164,164. 북가좌1동 주민센터 ,5543,1531.0,561.0,1419.0,10.120873173371821,25.59985567382284,1,1
165,165. 중앙근린공원,13716,3679.0,1673.0,3700.0,12.197433654126568,26.975794692330123,3,1
166,166. 가재울 초등학교,18732,4966.0,2149.0,5163.0,11.472346786248131,27.5624599615631,3,1
167,167. 연가초등학교 옆,6202,1387.0,810.0,1642.0,13.060303128023218,26.475330538535957,1,1
169,169. 북가좌 삼거리,6000,1457.0,866.0,1262.0,14.433333333333334,21.033333333333335,1,1
170,170. DMC파크뷰자이아파트 302동 앞,11341,2894.0,1318.0,3304.0,11.621550127854686,29.13323340093466,3,1
171,171. 임광빌딩 앞,6197,1541.0,1436.0,987.0,23.17250282394707,15.927061481361948,1,3
173,173. 서대문역 8번출구 앞,3840,676.0,1062.0,556.0,27.65625,14.479166666666668,1,3
175,175. 홍연2교옆,12266,2543.0,1676.0,3405.0,13.663786075330181,27.759660851133212,3,1
176,176. 명지대학교 도서관,20627,3126.0,2644.0,5235.0,12.81815096717894,25.379357153245746,3,1
177,177. 북가좌 초등학교,7665,1880.0,1055.0,1993.0,13.763861709067188,26.00130463144162,1,1
178,178. 증산3교 앞,16847,3959.0,2176.0,4471.0,12.916246215943492,26.538849646821394,3,1
179,179. 가좌역 4번출구 앞,20929,5508.0,4381.0,4179.0,20.932677146543075,19.96750919776387,3,2
180,180. 충정로역 7번출구 아래,7543,1075.0,1759.0,1691.0,23.319634097839057,22.418136020151135,1,3
181,181. 망원초록길 입구,11406,743.0,1702.0,4581.0,14.921970892512713,40.16307206733298,1,1
182,182. 망원2빗물펌프장 앞,11246,1123.0,1749.0,4140.0,15.552196336475191,36.81308909834608,1,1
183,183. 하늘채코오롱아파트 건너편,32099,6686.0,5117.0,7955.0,15.941306582759587,24.782703511012805,2,2
184,184.망원우체국사거리 인근,28690,3415.0,4926.0,8464.0,17.169745555942836,29.50156849076333,2,1
185,185. 마포 신수공원 앞,12295,2009.0,1424.0,4007.0,11.581943879625864,32.59048393655958,3,1
186,186. 월드컵공원,30172,745.0,3426.0,16154.0,11.35489858146626,53.53970568739228,2,1
188,188. 홍은동 정원여중 입구,8440,1433.0,1395.0,2315.0,16.528436018957347,27.428909952606634,1,1
191,191. 서우빌딩,10164,1983.0,1217.0,2536.0,11.973632428177883,24.95080676898859,1,1
192,192. 연서어린이공원,5408,1540.0,819.0,1260.0,15.144230769230768,23.298816568047336,1,1
194,194. 증산교 앞,21318,2287.0,4696.0,6031.0,22.028332864246178,28.290646402101512,3,1
195,195. 모래내고가차도 ,9683,1704.0,1258.0,2543.0,12.991841371475783,26.262521945677992,1,1
196,196. 연희교차로 인근,2937,459.0,437.0,765.0,14.879128362274429,26.046986721144023,1,1
198,198. 충정2교,5049,1150.0,1008.0,986.0,19.964349376114082,19.52861952861953,1,3
199,199. 서울 월드컵 경기장,12670,1101.0,1899.0,4345.0,14.988161010260459,34.293606945540645,3,1
200,200. 국회의원회관,2060,253.0,799.0,104.0,38.786407766990294,5.048543689320388,1,4
201,201. 진미파라곤 앞,17858,1814.0,5164.0,4182.0,28.917011983424796,23.418075932355247,3,3
