대여소번호,대여소명,전체 이용건수,평일 출근시간 이용건수(7-9시),평일출근비중(%),평일 퇴근시간 이용건수(17-19시),평일퇴근비중(%),주말 이용건수,주말이용비중(%)
"5651","5651.한강버스 옥수 선착장",48408,1843,3.81%,9067,18.73%,19084,39.42%
"1167","1167. 마곡수명산파크3단지 교차로",48269,11927,24.71%,7364,15.26%,11482,23.79%
"1601","1601. 석계역 문화광장 내 자전거 보관소",48192,4709,9.77%,10508,21.80%,11461,23.78%
"3681","3681. 길동 마루빌딩",48138,5784,12.02%,8213,17.06%,13375,27.78%
"207","207. 여의나루역 1번출구 앞",47872,4473,9.34%,11375,23.76%,15189,31.73%
"209","209. 유진투자증권빌딩 앞",47705,2420,5.07%,17419,36.51%,11453,24.01%
"5061","5061. 우장산동 가곡어린이공원앞",47558,6724,14.14%,7490,15.75%,12071,25.38%
"1184","1184. 마곡13단지",47319,15621,33.01%,5526,11.68%,10976,23.20%
"3668","3668. 성내삼성아파트",47247,10135,21.45%,7284,15.42%,11438,24.21%
"1084","1084. 윤선생빌딩(JYP사옥)",46577,5376,11.54%,11627,24.96%,11353,24.37%
"746","746. 목동2단지 상가",46240,2667,5.77%,8333,18.02%,14832,32.08%
"1157","1157. 강서구청",46181,13367,28.94%,7786,16.86%,9111,19.73%
"243","243. 이앤씨드림타워 앞",46132,5137,11.14%,11640,25.23%,10786,23.38%
"1608","1608. 공릉역 1번 출구 앞",46131,5835,12.65%,9464,20.52%,10178,22.06%
"1044","1044. 굽은다리역",46104,5723,12.41%,7899,17.13%,12428,26.96%
"4940","4940.한강버스 압구정 선착장",46092,1298,2.82%,8357,18.13%,20197,43.82%
"787","787.양천아파트 입구",46086,13055,28.33%,6548,14.21%,10702,23.22%
"3571","3571.화양 APT(횡단보도 옆)",45986,8639,18.79%,8236,17.91%,10310,22.42%
"4531","4531. 목동아파트 613동 앞",45950,10291,22.40%,6377,13.88%,12679,27.59%
"4029","4029. 청소년수련관 후문",45915,9352,20.37%,5776,12.58%,12347,26.89%
"4137","4137. 답십리역 4번출구",45845,5399,11.78%,11524,25.14%,10393,22.67%
"2639","2639.석촌역 8번출구",45582,7550,16.56%,9230,20.25%,10914,23.94%
"263","263. 근로자회관 사거리",45137,5820,12.89%,10434,23.12%,10430,23.11%
"1117","1117. 등촌5단지아파트 버스정류장",45000,6543,14.54%,8904,19.79%,9777,21.73%
"2719","2719.마곡문화공원",44848,4498,10.03%,18468,41.18%,5859,13.06%
"202","202. 국민일보 앞",44756,3946,8.82%,16104,35.98%,9553,21.34%
"4508","4508. 유원목동아파트 103동 앞",44528,6187,13.89%,6974,15.66%,10923,24.53%
"1295","1295. 잠실역 8번출구",44519,3004,6.75%,10696,24.03%,12601,28.30%
"5096","5096. LG사이언스파크 E14동",44505,4127,9.27%,25012,56.20%,976,2.19%
"1011","1011. LIGA 아파트 앞",44309,7658,17.28%,7111,16.05%,10755,24.27%
"1173","1173. 강서구청사거리(SH타워)",44097,11201,25.40%,6257,14.19%,10478,23.76%
"795","795.양천 해누리타운",44085,5297,12.02%,8938,20.27%,9763,22.15%
"1149","1149. 신방화역환승주차장",44051,5484,12.45%,9549,21.68%,10568,23.99%
"3680","3680. 강동역3번출구",43786,7617,17.40%,8704,19.88%,9469,21.63%
"2628","2628.문정역 1번출구",43514,6904,15.87%,9285,21.34%,8971,20.62%
"2646","2646.레이크펠리스101동앞",43374,5874,13.54%,6531,15.06%,12555,28.95%
"1985","1985. 구로도서관",43317,7373,17.02%,6960,16.07%,10797,24.93%
"779","779. 신정1동 주민센터 앞",43270,6530,15.09%,7640,17.66%,11639,26.90%
"1182","1182. KBS 스포츠월드",43259,9550,22.08%,7102,16.42%,8005,18.50%
"3219","3219.영등포역 1번출구",43185,7528,17.43%,9706,22.48%,11046,25.58%
